id,region,name,capital,imagePath
1,北海道,北海道,札幌市,map-hokkaido.png
2,東北,青森県,青森市,map-aomori.png
3,東北,岩手県,盛岡市,map-iwate.png
4,東北,宮城県,仙台市,map-miyagi.png
5,東北,秋田県,秋田市,map-akita.png
6,東北,山形県,山形市,map-yamagata.png
7,東北,福島県,福島市,map-fukushima.png
8,関東,茨城県,水戸市,map-ibaraki.png
9,関東,栃木県,宇都宮市,map-tochigi.png
10,関東,群馬県,前橋市,map-gunma.png
11,関東,埼玉県,さいたま市,map-saitama.png
12,関東,千葉県,千葉市,map-chiba.png
13,関東,東京都,東京,map-tokyo.png
14,関東,神奈川県,横浜市,map-kanagawa.png
15,中部,新潟県,新潟市,map-niigata.png
16,中部,富山県,富山市,map-toyama.png
17,中部,石川県,金沢市,map-ishikawa.png
18,中部,福井県,福井市,map-fukui.png
19,中部,山梨県,甲府市,map-yamanashi.png
20,中部,長野県,長野市,map-nagano.png
21,中部,岐阜県,岐阜市,map-gifu.png
22,中部,静岡県,静岡市,map-shizuoka.png
23,中部,愛知県,名古屋市,map-aichi.png
24,近畿,三重県,津市,map-mie.png
25,近畿,滋賀県,大津市,map-shiga.png
26,近畿,京都府,京都市,map-kyoto.png
27,近畿,大阪府,大阪市,map-osaka.png
28,近畿,兵庫県,神戸市,map-hyogo.png
29,近畿,奈良県,奈良市,map-nara.png
30,近畿,和歌山県,和歌山市,map-wakayama.png
31,中国,鳥取県,鳥取市,map-tottori.png
32,中国,島根県,松江市,map-shimane.png
33,中国,岡山県,岡山市,map-okayama.png
34,中国,広島県,広島市,map-hiroshima.png
35,中国,山口県,山口市,map-yamaguchi.png
36,四国,徳島県,徳島市,map-tokushima.png
37,四国,香川県,高松市,map-kagawa.png
38,四国,愛媛県,松山市,map-ehime.png
39,四国,高知県,高知市,map-kochi.png
40,九州,福岡県,福岡市,map-fukuoka.png
41,九州,佐賀県,佐賀市,map-saga.png
42,九州,長崎県,長崎市,map-nagasaki.png
43,九州,熊本県,熊本市,map-kumamoto.png
44,九州,大分県,大分市,map-oita.png
45,九州,宮崎県,宮崎市,map-miyazaki.png
46,九州,鹿児島県,鹿児島市,map-kagoshima.png
47,九州,沖縄県,那覇市,map-okinawa.png
